s-image src,LINK,DESCRIPTION,RATING,REVIEW,OFFER PRICE,ACTUAL PRIC,DISCOUNT
https://m.media-amazon.com/images/I/71OgepF3-9L._AC_UY218_.jpg,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_18?,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",3.9 out of 5 stars,710,? 999.00,,
https://m.media-amazon.com/images/I/61bcWVZ74SL._AC_UY218_.jpg,https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_19?,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,5.0 out of 5 stars,2,? 510.00,"RS 1,999",(74% off)
https://m.media-amazon.com/images/I/61xpAsIGqwL._AC_UY218_.jpg,https://www.amazon.in/Safari-Laptop-Backpack,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",3.9 out of 5 stars,675,? 899.00,"RS 2,899",(69% off)
https://m.media-amazon.com/images/I/81DHjQJ+AIL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&,Chris & Kate Grey Khadi Water Resistant Polyester Backpack for School | College | Office Use With Laptop Compartment,5.0 out of 5 stars,1,? 649.00,"RS 1,599",(59% off)
https://m.media-amazon.com/images/I/81FdXentMkL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),3.7 out of 5 stars,33,? 599.00,"RS 1,599",(63% off)
https://m.media-amazon.com/images/I/81MTW4OHKAL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=2&,"Chris & Kate 40 L Polyester Blue Yellow 15.6"" inch Laptop Backpack | Office, Travel and Casual Laptop Bag",,,? 689.00,"RS 1,699",(59% off)
https://m.media-amazon.com/images/I/910mc7CbTeL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=2,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014",4.0 out of 5 stars,21,"? 5,600.00","RS 7,000",(20% off)
https://m.media-amazon.com/images/I/71Pk6o+INCL._AC_UY218_.jpg,https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_19?,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,4.1 out of 5 stars,"4,860",? 512.00,"RS 1,499",(66% off)
https://m.media-amazon.com/images/I/81W0Pm2GZIL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=4,Chris & Kate Polyester Backpack for School | College | Everyday Bag With Laptop Compartment,,,? 849.00,"RS 2,249",(62% off)
https://m.media-amazon.com/images/I/61SiqsPa4bL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags&page=4,Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,3.4 out of 5 stars,19,? 489.00,"RS 1,299",(62% off)
https://m.media-amazon.com/images/I/51Gszx6vb5L._AC_UY218_.jpg,https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S/ref=sr_1_51?,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,4.2 out of 5 stars,"7,166",? 422.00,RS 695,(39% off)
https://m.media-amazon.com/images/I/91pwFRgKanL._AC_UY218_.jpg,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_52?,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,4.4 out of 5 stars,"5,988","? 1,049.00","RS 1,999",(48% off)
https://m.media-amazon.com/images/I/81MdmvloEkL._AC_UY218_.jpg,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_53?,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,4.0 out of 5 stars,"10,537",? 799.00,"RS 3,500",(77% off)
https://m.media-amazon.com/images/I/61kICUQZjkL._AC_UY218_.jpg,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_54?,Half Moon Strike 35L Unisex Spacious School/ Laptop/ College/ Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,3.6 out of 5 stars,44,? 699.00,"RS 2,599",(73% off)
https://m.media-amazon.com/images/I/71xIJSCVtZL._AC_UY218_.jpg,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_55?,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",4.0 out of 5 stars,961,? 999.00,,
https://m.media-amazon.com/images/I/811Ns9JPM0L._AC_UY218_.jpg,https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_56?,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",4.0 out of 5 stars,348,? 512.00,"RS 1,799",(72% off)
